Date	WorkingDaysIndices	ReverseWorkingDaysIndices	MondayMonthInd	TuesdayMonthInd	WednesdayMonthInd	ThursdayMonthInd	FridayMonthInd	BeforeLastMonday	LastMonday	BeforeLastTuesday	LastTuesday	BeforeLastWednesday	LastWednesday	BeforeLastThursday	LastThursday	BeforeLastFriday	LastFriday	Last5WDaysInd	Last5WDays	Last4WDaysInd	Last4WDays	LastWMonth	BeforeLastWMonth	Cash
2001-01-02	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4586.144145
2001-01-03	1	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3750.2201
2001-01-04	2	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4978.993643
2001-01-05	3	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5803.562791
2001-01-08	4	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5711.32164
2001-01-09	5	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6125.609151
2001-01-10	6	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2863.405119
2001-01-11	7	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4446.701124
2001-01-12	8	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5518.022286
2001-01-15	9	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3689.734385
2001-01-16	10	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3991.253311
2001-01-17	11	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3139.418153
2001-01-18	12	9	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2984.779993
2001-01-19	13	8	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5630.529973
2001-01-22	14	7	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17701.38222
2001-01-23	15	6	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6785.29066
2001-01-24	16	5	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3942.508401
2001-01-25	17	4	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	4053.923654
2001-01-26	18	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	0	4475.384867
2001-01-29	19	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	2	1	0	0	4038.75598
2001-01-30	20	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	3	1	0	0	4047.486611
2001-01-31	21	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	5	1	4	1	0	0	3988.983064
2001-02-01	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5381.271488
2001-02-02	1	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4179.65571
2001-02-05	2	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4074.427983
2001-02-06	3	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3782.676766
2001-02-07	4	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5814.213993
2001-02-08	5	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4879.213112
2001-02-09	6	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6105.654384
2001-02-12	7	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3582.060666
2001-02-13	8	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5475.1238
2001-02-14	9	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2751.159961
2001-02-15	10	9	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4508.505852
