target,text
complaint,how can a morning flight(5309) already be delayed 40 minutes due to traffic?! Insane &amp; happens all the time. ATL looking better
complaint,"Jenny in Baton Rouge is horrible at her job she doesn't know how to check bags, talk to her."
complaint,flight delayed due to paperwork confusion and then quarantined on the ground due to a passenger who was just airsick
complaint,Not even that upset about the bags. It's the lack there of for customer care that I just received. Never experience that before
complaint,"My departure sat there, delayed, for an hour so I would have missed my connecting flight if it wasn't for the maintenance on it"
complaint,Two days in a row of you ******** up my flights. I will no longer be flying with UA. \u270c
complaint,poor service at gate.  PlatinumDelta member looking to purchase upgrade.  Attendant claimed no seats.  I count 7
complaint,Apparently  doesn't realize you need staff to work on he plane. Worst airline I have ever interacted with  #refund
complaint,Getting on another flight with   unfortunately. Another awful experience. Need to avoid them!
complaint,"Disappointed in you today, my 17 year old unaccompanied cousin has been stuck at MSY since 7am! Please get her to DCA tonight!"
complaint,After today I'm adding flying  to the list of things I'm never doing again. Thanks for the fun start to vacation.
complaint,The only thing worse than  cancelling our flight for no reason is rude customer service who offer no help.
complaint,Never flying  again
complaint,"currently very frustrated w/   @ PVR. Your employee was late to check ppl in, wouldn't let us fly standby, and was extremely rude"
complaint,flight 1147 to #LA has been delayed AGAIN! Yesterday my flight was delayed twice then canceled. #overit #fail
complaint,Good  they are so rude and  get your act together 
complaint,"worst Customer Service ever!Canceled a flight we booked early and expect us to sleep overnight at airport, Really?"
complaint,". - and by the way, the ORD gate agent who was unnecessarily rude was working the G1A desk at about 5 pm"
complaint,sorry to report that your customer care today at #Schipol was atrocious. Lounge instructions on your boarding pass a joke.
complaint,Come on  - 30 mins at gate and no jetbridge? NEVER flying you losers again!!!
complaint,"I've said this once and I'll say it again, you have horrible flight attendants and I will not be flying united again after today \U0001f60a\U0001f60a"
complaint,"almost 24 hours later and still no proper response from AA. DISGUSTING, DEPLORABLE SERVICE"
complaint,Disappointing 
complaint,"At MIA-flt going on 2 hrs delayed &amp; gate staff have made exactly 0 announcements on status. Every 10 min, delayed again. Poor."
complaint,VERY unpleasant gate person  ATL #REF! DL264 - closed door on wheelchair passenger while walking to gate - security delay
complaint,Agent named Cylus pretending to be a manager was rude &amp; insolent. Never seen anything like this  #SFO you lost me 4ever.
complaint,Let's just all say  are rubbish ey
complaint,poor handling of situation on flight 752 CLT SJU today. Still at the gate and showing no respect to time.
complaint,is the worst airline
complaint,Just experienced the most inept gate management I've ever seen. That on a 11 hour delay AA104. Not OK.
complaint,Wow!  At DFW- boarded plane with someone in my assigned seat so had to walk back off the plane.  Disorganized! Awful service.
complaint,4 months ahead of my trip and  already delaying my flights smh
complaint,"i am appalled by the way i've been treated by  staff, everyone from that airline i've interacted with so far has been incredibly rude"
complaint,"JFK, airport. Supervisor Velasquez is incompetent , rude. Disaster Disgusting what you did today #AmericanAirlines. Horror show"
complaint,"is failing customers today. 1st flight cancelled. When Rebooking flight, aa didn't tell us we r on standby. Stuck in Charlotte"
complaint,leaving our flight on the CLT Tarmac 40 minutes after landing so everyone could scramble to their connections is unacceptable
complaint,Customer service is a phrase that  doesn't comprehend
complaint,How about some customer service? It would be nice for your app to update accordingly when flight gates change.
complaint,"great arm rest, going to make for a great 5 hour cross country flight #Regrets #NeverAgain"
complaint,booked flight with my wife and I sitting together. We're not. Attendant said she fixed it she didn't. Flight delayed over hour
complaint,we r officially breaking up.  and I will take our business elsewhere! Learn how 2 treat your loyal clients w/respect
complaint,"You are the worst airline! If you fly somewhere, have parts and maintenance crew there! Treat your customers better!"
complaint,Why doesn't  have  So upset. Have about 6479382773 drink coupons to use. #traveling #travelingprobs #southwest
complaint,EarlyBird is such a joke! Used it one time and got group B! Completely worthless ripoff... I have better luck without it Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡
complaint,"when boarding hasn't started with only 20 mins to published departure time, perhaps a delayed announcement is in order."
complaint,Lord  you take laid back to a whole new lazy level. Constant Baggage claim delays are shameful.  terminal 4
complaint,**** YALL
complaint,Dreading my  flight tonight. Thanks for the terrible #CustomerService #TimeToSwitchToDelta
complaint,it's amazing ! Stuck in San Jose! My exams on Paris wednesday ! Myticket train from Paris 2 Tours lost ! Hope smt would be done
