target,text
complaint,how can a morning flight(...) already be delayed ... minutes due to traffic?! Insane happens all the time.
complaint,"... in ... is horrible at her job she doesn't know how to check bags, talk to her."
complaint,flight delayed due to paperwork confusion and then quarantined on the ground due to a passenger who was just airsick
complaint,Not even that upset about the bags. It's the lack there of for customer care that I just received. Never experience that before
complaint,"My departure sat there, delayed, for an hour so I would have missed my connecting flight if it wasn't for the maintenance on it"
complaint,Two days in a row of you ******** up my flights. I will no longer be flying with .... 
complaint,poor service at gate.  ... member looking to purchase upgrade.  Attendant claimed no seats.  I count 7
complaint,Apparently  doesn't realize you need staff to work on he plane. Worst airline I have ever interacted with  #refund
complaint,Getting on another flight with   unfortunately. Another awful experience. Need to avoid them!
complaint,"Disappointed in you today, my ... year old unaccompanied cousin has been stuck at ... since ...! Please get her to ... tonight!"
complaint,After today I'm adding flying  to the list of things I'm never doing again. Thanks for the fun start to vacation.
complaint,The only thing worse than  cancelling our flight for no reason is rude customer service who offer no help.
complaint,Never flying  again
complaint,"currently very frustrated w/   @ .... Your employee was late to check ppl in, wouldn't let us fly standby, and was extremely rude"
complaint,flight ... to #... has been delayed ...! Yesterday my flight was delayed twice then canceled. #overit #fail
complaint,Good  they are so rude and  get your act together 
complaint,"worst Customer Service ever!Canceled a flight we booked early and expect us to sleep overnight at airport, Really?"
complaint,". - and by the way, the ... gate agent who was unnecessarily rude was working the ... desk at about ..."
complaint,sorry to report that your customer care today at ... was atrocious. Lounge instructions on your boarding pass a joke.
complaint,Come on  - ...mins at gate and no jetbridge? NEVER flying you losers again!!!
complaint,"I've said this once and I'll say it again, you have horrible flight attendants and I will not be flying united again after today ..."
complaint,"almost ... hours later and still no proper response from .... DISGUSTING, DEPLORABLE SERVICE"
complaint,Disappointing 
complaint,"At ... going on ... hrs delayed &amp; gate staff have made exactly ... announcements on status. Every ... min, delayed again. Poor."
complaint,VERY unpleasant gate person  ... #...! ... - closed door on wheelchair passenger while walking to gate - security delay
complaint,Agent ... pretending to be a manager was rude &amp; insolent. Never seen anything like this  #... you lost me 4ever.
complaint,Let's just all say  are rubbish ey
complaint,poor handling of situation on flight ... ... ... today. Still at the gate and showing no respect to time.
complaint,is the worst airline
complaint,Just experienced the most inept gate management I've ever seen. That on a ... hour delay .... Not OK.
complaint,Wow!  At ...- boarded plane with someone in my assigned seat so had to walk back off the plane.  Disorganized! Awful service.
complaint,4 months ahead of my trip and  already delaying my flights smh
complaint,"i am appalled by the way i've been treated by  staff, everyone from that airline i've interacted with so far has been incredibly rude"
complaint,"..., airport. Supervisor ... is incompetent , rude. Disaster Disgusting what you did today #.... Horror show"
complaint,"is failing customers today. 1st flight cancelled. When Rebooking flight, ... didn't tell us we r on standby. Stuck in ..."
complaint,leaving our flight on the ... ... ... minutes after landing so everyone could scramble to their connections is unacceptable
complaint,Customer service is a phrase that  doesn't comprehend
complaint,How about some customer service? It would be nice for your app to update accordingly when flight gates change.
complaint,"great arm rest, going to make for a great ... hour cross country flight #Regrets #NeverAgain"
complaint,booked flight with my wife and I sitting together. We're not. Attendant said she fixed it she didn't. Flight delayed over hour
complaint,we r officially breaking up.  and I will take our business elsewhere! Learn how 2 treat your loyal clients w/respect
complaint,"You are the worst airline! If you fly somewhere, have parts and maintenance crew there! Treat your customers better!"
complaint,Why doesn't  have  So upset. Have about ... drink coupons to use. #traveling #... #...
complaint,... is such a joke! Used it one time and got group ...! Completely worthless ripoff... I have better luck without it
complaint,"when boarding hasn't started with only ... mins to published departure time, perhaps a delayed announcement is in order."
complaint,Lord  you take laid back to a whole new lazy level. Constant Baggage claim delays are shameful.  terminal ...
complaint,**** ...
complaint,Dreading my  flight tonight. Thanks for the terrible #CustomerService #...
complaint,it's amazing ! Stuck in ... ! My exams on ... wednesday ! ... train from ... ... Tours lost ! Hope smt would be done
compliment,"Thank you, and great to get confirmation from you  - stay safe.   "
compliment,"Good start to the day. On ..., little late to gate (why ... terminal?). Flight attendant saved room for carry on. Awesome!"
compliment,"1/2 Checked my res, saw schedule change resulting in too tight connection. Wonderful service from phone agent getting new"
compliment,So proud of the ...'s on  ... ...-...  Their quick response to an onboard medical showed true preparation and professionalism!
