MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
8.3252,41,6.984126984,1.023809524,322,2.555555556,37.88,-122.23,4.526
8.3014,21,6.238137083,0.971880492,2401,2.109841828,37.86,-122.22,3.585
7.2574,52,8.288135593,1.073446328,496,2.802259887,37.85,-122.24,3.521
5.6431,52,5.817351598,1.073059361,558,2.547945205,37.85,-122.25,3.413
3.8462,52,6.281853282,1.081081081,565,2.181467181,37.85,-122.25,3.422
4.0368,52,4.761658031,1.103626943,413,2.139896373,37.85,-122.25,2.697
3.6591,52,4.931906615,0.951361868,1094,2.128404669,37.84,-122.25,2.992
3.12,52,4.797527048,1.061823802,1157,1.788253478,37.84,-122.25,2.414
2.0804,42,4.294117647,1.117647059,1206,2.026890756,37.84,-122.26,2.267
3.6912,52,4.970588235,0.990196078,1551,2.172268908,37.84,-122.25,2.611
3.2031,52,5.47761194,1.07960199,910,2.263681592,37.85,-122.26,2.815
3.2705,52,4.772479564,1.024523161,1504,2.049046322,37.85,-122.26,2.418
3.075,52,5.322649573,1.012820513,1098,2.346153846,37.85,-122.26,2.135
2.6736,52,4,1.097701149,345,1.982758621,37.84,-122.26,1.913
1.9167,52,4.262903226,1.009677419,1212,1.95483871,37.85,-122.26,1.592
2.125,50,4.242424242,1.071969697,697,2.640151515,37.85,-122.26,1.4
2.775,52,5.939577039,1.048338369,793,2.395770393,37.85,-122.27,1.525
2.1202,52,4.052805281,0.9669967,648,2.138613861,37.85,-122.27,1.555
1.9911,50,5.343675418,1.085918854,990,2.362768496,37.84,-122.26,1.587
2.6033,52,5.465454545,1.083636364,690,2.509090909,37.84,-122.27,1.629
1.3578,40,4.524096386,1.108433735,409,2.463855422,37.85,-122.27,1.475
1.7135,42,4.478142077,1.00273224,929,2.538251366,37.85,-122.27,1.598
1.725,52,5.09623431,1.131799163,1015,2.123430962,37.84,-122.27,1.139
2.1806,52,5.193846154,1.036923077,853,2.624615385,37.84,-122.27,0.997
2.6,52,5.27014218,1.035545024,1006,2.383886256,37.84,-122.27,1.326
2.4038,41,4.495798319,1.033613445,317,2.663865546,37.85,-122.28,1.075
2.4597,49,4.728033473,1.020920502,607,2.539748954,37.85,-122.28,0.938
1.808,52,4.780856423,1.060453401,1102,2.77581864,37.85,-122.28,1.055
1.6424,50,4.401691332,1.040169133,1131,2.391120507,37.84,-122.28,1.089
1.6875,52,4.703225806,1.032258065,395,2.548387097,37.84,-122.28,1.32
1.9274,49,5.068783069,1.182539683,863,2.283068783,37.84,-122.28,1.223
1.9615,52,4.882086168,1.090702948,1168,2.648526077,37.84,-122.28,1.152
1.7969,48,5.737313433,1.220895522,1026,3.062686567,37.84,-122.27,1.104
1.375,49,5.030395137,1.112462006,754,2.291793313,37.83,-122.27,1.049
2.7303,51,4.972014925,1.070895522,1258,2.347014925,37.83,-122.27,1.097
1.4861,49,4.602272727,1.068181818,570,2.159090909,37.83,-122.27,0.972
1.0972,48,4.807486631,1.155080214,987,2.639037433,37.83,-122.27,1.045
1.4103,52,3.749379653,0.967741935,901,2.23573201,37.83,-122.28,1.039
3.48,52,4.757281553,1.067961165,689,2.229773463,37.83,-122.26,1.914
2.5898,52,3.494252874,1.027298851,1377,1.978448276,37.83,-122.26,1.76
2.0978,52,4.215189873,1.060759494,946,2.394936709,37.83,-122.26,1.554
1.2852,51,3.759036145,1.248995984,517,2.076305221,37.83,-122.26,1.5
1.025,49,3.772486772,1.068783069,462,2.444444444,37.84,-122.26,1.188
3.9643,52,4.797979798,1.02020202,467,2.358585859,37.84,-122.26,1.888
3.0125,52,4.941780822,1.065068493,660,2.260273973,37.83,-122.26,1.844
2.6768,52,4.335078534,1.09947644,718,1.879581152,37.83,-122.26,1.823
2.026,50,3.700657895,1.059210526,616,2.026315789,37.83,-122.26,1.425
1.7348,43,3.980237154,1.233201581,558,2.205533597,37.82,-122.27,1.375
0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26,1.875
1.775,40,2.6875,1.065340909,700,1.988636364,37.82,-122.27,1.125
0.9218,21,2.0456621,1.034246575,735,1.678082192,37.82,-122.27,1.719
1.5045,43,4.58968059,1.12039312,1061,2.606879607,37.82,-122.27,0.938
1.1108,41,4.473611111,1.184722222,1959,2.720833333,37.82,-122.27,0.975
1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27,1.042
1.6098,52,5.021459227,1.008583691,701,3.008583691,37.82,-122.28,0.875
1.4113,52,4.295454545,1.104545455,576,2.618181818,37.82,-122.28,0.831
1.5057,52,4.77992278,1.111969112,622,2.401544402,37.82,-122.28,0.875
0.8172,52,6.102459016,1.37295082,728,2.983606557,37.82,-122.28,0.853
1.2171,52,4.5625,1.121710526,1074,3.532894737,37.82,-122.28,0.803
2.5625,2,2.771929825,0.754385965,94,1.649122807,37.82,-122.29,0.6
3.3929,52,5.994652406,1.128342246,554,2.962566845,37.83,-122.29,0.757
6.1183,49,5.869565217,1.260869565,86,3.739130435,37.82,-122.29,0.75
0.9011,50,6.229508197,1.557377049,377,3.090163934,37.81,-122.29,0.861
1.191,52,7.698113208,1.490566038,521,3.27672956,37.81,-122.3,0.761
2.5938,48,6.22556391,1.368421053,392,2.947368421,37.81,-122.3,0.735
1.1667,52,5.401069519,1.117647059,604,3.229946524,37.81,-122.3,0.784
0.8056,48,4.38253012,1.06626506,788,2.373493976,37.81,-122.3,0.844
2.6094,52,6.986394558,1.659863946,492,3.346938776,37.8,-122.29,0.813
1.8516,52,6.975609756,1.329268293,274,3.341463415,37.81,-122.3,0.85
0.9802,46,4.584288052,1.05400982,1823,2.983633388,37.81,-122.29,1.292
1.7719,26,6.047244094,1.196850394,392,3.086614173,37.81,-122.29,0.825
0.7286,46,3.375451264,1.072202166,582,2.101083032,37.81,-122.29,0.952
1.75,49,5.552631579,1.342105263,560,3.684210526,37.81,-122.29,0.75
0.4999,46,1.714285714,0.571428571,18,2.571428571,37.81,-122.29,0.675
2.483,20,6.278195489,1.210526316,290,2.180451128,37.81,-122.29,1.375
0.9241,17,2.817767654,1.0523918,762,1.735763098,37.81,-122.28,1.775
2.4464,36,5.724950884,1.104125737,1236,2.428290766,37.81,-122.28,1.021
1.1111,19,5.830917874,1.173913043,721,3.483091787,37.81,-122.28,1.083
0.8026,23,5.369230769,1.150769231,1054,3.243076923,37.81,-122.29,1.125
2.0114,38,4.412903226,1.135483871,344,2.219354839,37.8,-122.28,1.313
1.5,17,3.197231834,1,609,2.107266436,37.81,-122.28,1.625
1.1667,52,3.75,1,183,3.267857143,37.81,-122.27,1.125
1.5208,52,3.908045977,1.114942529,200,2.298850575,37.81,-122.28,1.125
0.8075,52,2.490322581,1.058064516,346,2.232258065,37.81,-122.28,1.375
1.8088,35,5.609467456,1.088757396,467,2.763313609,37.81,-122.28,1.188
2.4083,52,6.72173913,1.243478261,377,3.27826087,37.81,-122.28,0.982
0.977,40,2.315789474,1.186842105,582,1.531578947,37.81,-122.27,1.188
0.76,10,2.651515152,1.054545455,546,1.654545455,37.81,-122.27,1.625
0.9722,10,2.692307692,1.076923077,125,3.205128205,37.8,-122.27,1.375
1.2434,52,2.929411765,0.917647059,396,4.658823529,37.8,-122.27,5.00001
2.0938,16,2.745856354,1.082872928,800,2.209944751,37.8,-122.27,1.625
0.8668,52,2.443181818,0.988636364,904,10.27272727,37.8,-122.28,1.375
0.75,52,2.823529412,0.911764706,191,5.617647059,37.8,-122.28,1.625
2.6354,27,3.493377483,1.149006623,718,2.377483444,37.79,-122.27,1.875
1.8477,39,3.672376874,1.334047109,1327,2.841541756,37.8,-122.27,1.792
2.0096,36,2.294016358,1.066293586,3469,1.493327594,37.8,-122.26,1.3
2.8345,31,3.894915254,1.127966102,2048,1.73559322,37.82,-122.26,1.838
2.0062,29,3.681318681,1.175824176,202,2.21978022,37.81,-122.26,1.25
1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26,1.7
2.6104,37,3.707142857,1.107142857,1838,1.875510204,37.82,-122.26,1.931
2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25,2.578
3.2177,28,3.878423514,1.070808283,2563,1.712090848,37.81,-122.25,2.734
