Question,Answer
"Is it possible to go to another skill if a user clicks yes\no ?
","Sure you can. Use ""Redirect to SKILL and start the skill"". For this, you should create a requirement in the ""Requirements"" tab for an answer to be present. For more information see [Requirements]( https://help.sap.com/viewer/a4522a393d2b4643812b7caadfe90c18/latest/en-US/c09ef2abdb044aaaa43025e5138b3f73.html)
"
What is a skill?,"A skill is a block of conversations that has a clear purpose and that your bot can execute to achieve a goal. It can be as simple as the ability to greet someone, but it can also be more complex, like giving a movie suggestion based on information provided by the user."
What is an intent? ,An intent is a box of expressions that mean the same thing but are constructed in different ways. Intents are the heart of your bot's understanding. Each one of your intents represents an idea your bot is able to understand.
How do I build a chatbot? ,"To create your chatbot Click + New Bot at the top right of the page. You should then see a page appear with a series of fields. 

1) Enter a name and a description(optional).

2) (Optional) Add up to six topics to your bot (for example, Customer Support, HR, Payments, etc.). By categorizing your bot in this way, we can suggest more appropriate training data to improve it later.

3) Set the default language. You can add more languages later.

4) Select the appropriate Data Policy. Choose the type of end uder that this bot can be accessed by.

5) Specify whether your bot is public or private.

6) Click CREATE A BOT.

For a tutorial check out this blog post here: https://cai.tools.sap/blog/build-your-first-bot-with-sap-conversational-ai/"
How would you recemmond structuring an intent? ,"Make sure your intents are distinct enough to avoid misunderstandings and unnecessary confusion
Balance your intents: try to have the same amount of expressions in each of them
Diversify your intents: use as many different grammatical structures as you can"
How would you recommend structuring an intent?,
Can you give me an example of intents? ,"Here are some example intents for when someone asks for help. Just create an intent called `help` and fill it with every expression a user would say when asking for guidance.

Could you help me?
I'm lost, give me a hand please.
Can you help?
What can you do for me?"
What is an entity? ,"An entity is a keyword that is extracted from an expression. We automatically detect 28 different entities such as Datetime, Location, Person, and so on. We call them gold entities. However, you're not limited to these gold entities. You can also tag your own custom entities to detect keywords depending on your bot's context, such as subway stations if you're building a transport assistant. "
What is a gold entity? ,"Gold entities are entities that are detected automatically for our advanced languages. To bring you a precise service with true added value, we enrich each gold entity with essential core information. For example, when the gold entity `tomorrow` is detected in a sentence, a formatted version of the datetime that you can use as a reply is returned. You are not able to deactivate or train them. "
What is the difference between restricted custom entities and free custom entities? ,"Free custom entities are used when you don't have a strict list. For example, you want your bot to detect book titles. Restricted Entities are used when you have a closed list. For example, a list of possible orders from a menu. "
How do I create a restrictred custom entity?,"To create a restricted custom entity: In SAP Conversational AI go to Entities, click CREATE, and select Restricted entity. Then add values (synonyms) for this entity. You can also upload a CSV file or use the gazette endpoint of the API to quickly create a large list of synonyms."
What would I use the build tab for? ,"You can use the build tab to create your conversation flow. README.md: Where you explain the purpose of the skill.

Triggers: Where you define why this skill should be activated after a user message.

Requirements: What information this skill has to collect, and what questions need to be asked to fulfill the requirements.

Actions: What to do once the requirements are fulfilled."
What is the purpose of sentiment information? ,"Sentiment analysis detects the feeling of a users sentence. Measuring this in varying levels of positive, and negative input, alows you build a conversation flow around the feeling of the user. For example, if your user responds with a very positive response when making a purchase you may want to see if they are interested in other items similar to the one they just bought. "
What type of sentiment data do you collect? ,"Our sentiment analysis spans 5 categories, very positive (It was awesome to see that man eat a peach), positive (The man ate a peach), neutral (peach), negative (Sadly, the man did not eat a peach), and very negative (It was awful when the man ate the peach). "
