BUKRS,BELNR,GJAHR,BUZEI,BUZID,BSCHL,KOART,SHKZG,MWSKZ,WRBTR,HKONT,LIFNR,BLART,BUDAT,STBLG
ZX48,1510210847,2020,2,,40,S,S,QB,124345,7325581,,KN,20200304,
ZX48,1510205656,2020,2,,40,S,S,QD,62868.8,7325581,,KN,20200101,
ZX48,1510197284,2019,2,,40,S,S,R0,49345,7325581,,KN,20190820,
ZK02,1510036813,2019,2,,40,S,S,,92745,7325581,,KN,20190521,
ZN02,1510053430,2020,2,,40,S,S,IF,1243845,7325581,,KN,20200315,
ZN02,1510052970,2020,2,,40,S,S,IF,1092381.62,7325581,,KN,20200213,
ZN02,1510052808,2020,2,,40,S,S,I6,1283761,7325581,,KN,20200204,
ZN02,1510052717,2020,2,,40,S,S,IB,830845,7325581,,KN,20200201,
ZN02,1510052711,2020,2,,40,S,S,IF,1243845,7325581,,KN,20200201,800001722
ZN02,1510052702,2020,2,,40,S,S,IF,2394345,7325581,,KN,20200201,
ZN02,1510052521,2020,2,,40,S,S,IF,1568345,7325581,,KN,20200108,
ZN02,1510052495,2020,2,,40,S,S,IB,883345,7325581,,KN,20200107,
ZN02,1510052315,2020,2,,40,S,S,IF,1910545,7325581,,KN,20200201,
ZN02,1510052193,2020,2,,40,S,S,IF,2394345,7325581,,KN,20200101,800001692
ZN02,1510052171,2020,2,,40,S,S,IF,373889,7325581,,KN,20200101,
ZN02,1510052052,2019,2,,40,S,S,IB,1537665,7325581,,KN,20191213,800001684
ZN02,1510051920,2019,2,,40,S,S,IF,4488845,7325581,,KN,20191204,
ZN02,1510051890,2019,2,,40,S,S,IF,1025545,7325581,,KN,20191202,
ZN02,1510051865,2019,2,,40,S,S,,68345,7325581,,KN,20191201,
ZN02,1510051852,2019,2,,40,S,S,IF,2583145,7325581,,KN,20191201,
ZN02,1510051635,2019,2,,40,S,S,IF,4074193,7325581,,KN,20191201,
ZN02,1510051581,2019,2,,40,S,S,IB,801345,7325581,,KN,20191201,
ZN02,1510051548,2019,2,,40,S,S,,68345,7325581,,KN,20191111,
