description,manufacturer,price
"Compatible with LeapFrog LeapPad 2, LeapPad Ultra, LeapPad 3 and LeapPad Platinum tablets; use math to rescue bunnies and deliver packages; play as 1 of the pups",LeapFrog,24.99
"Dolby Atmos, Dolby Digital and Dolby TrueHD surround sound decoders; multiroom capability; Bluetooth interface; 17 DSP modes
Learn more about smart products.",Yamaha,1199.98
2 Speeds; Quiet DC motor with reduced vibration;        Bayonet mechanism;        Stainless steel cutting blade;        Water-resistant speed switches,Sencor,29.99
"Soft Start electronic control; 7 speeds; DC motor; soft-grip handle; accessory ejector button; 62"" lockable, swiveling cord; dishwasher-safe parts; includes 2 stainless-steel Turbo Beater II accessories and pro whisk",KitchenAid,99.99
From our expanded online assortment; bodypack transmitter; True Diversity receiver; omnidirectional clip-on microphone; up to 250' wireless transmission range,Sennheiser,399.99
AQUARIUS KISS Lunch Box: Features KISS band members; side panel displays KISS Army fan club logo; tin construction,Aquarius,12.99
Supports most Intel&#174; and AMD processors; supports most NVIDIA and ATI/AMD graphics cards; dual +12V rails; cable management system,Thermaltake,49.99
"Only at Best Buy
Compatible with Samsung Galaxy S 5 cell phones; polycarbonate and TPU materials; snap-on design; play-through construction; raised bezel; paisley pattern",Nanette Lepore,4.99
SPEAKERCRAFT In-Wall Stereo Volume Control: Compatible with most standard single-gang junction boxes and plaster rings; connects the speaker-level output with a pair of speakers; 20Hz - 20kHz frequency response; impedance adjustment; 45W power rating,SpeakerCraft,49.99
"Compatible with Apple iPhone SE, 5s and 5; high-density Plextonium frame; radio-transparent material; carbon-fiber finish; ultralightweight, ultrathin design; includes a screen protector and video stand",Incipio,29.99
StickyGels technology; sound isolating; welded construction; sweat-resistant; swivel hinge; 3-button in-line remote with microphone; reflective markings and interwoven fabric,Skullcandy,49.99
900-joule rating; 6 outlets; 2 USB ports; indicator lights; wall-mount design,Belkin,24.99
Survive a landscape desolated by war,Namco Bandai Games,14.99
Solve a crime with the power of numbers,Playlogic International,4.99
"CAMBRIDGE Artisan Tile-Top Gas Fire Pit: Push button ignition; knob controls; 30,000 BTUs of heat; heats a 15' radius; concealed 20-lb. tank chamber; porcelain tile-top surface; sling fabric shroud; includes burner cover and lava rock coals",Cambridge,699.99
Visualize and create the home of your dreams,Punch Software,29.99
Up to 16x recording speed; 4.7GB storage capacity;  records up to 120 minutes of video; 25-pack,Dynexâ¢,9.99
Record and mix your own tracks with an array of virtual instruments and effects at your fingertips,Acoustica,49.99
Play your hand right and rack up the chips,Crave,4.99
