BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,WRBTR,KZBTR,PSWBT,PSWSL,AUFNR,VBELN,SAKNR,LIFNR,EBELN,EBELP,MATNR,WERKS,_BKPF_STBLG,KOSTL,MENGE,MEINS,SPGRP,SPGRM,SPGRT,SPGRG,SPGRV,SPGRQ,HKONT,_BKPF_BLART,_BKPF_BUDAT,_BKPF_MONTH,_BKPF_CPUDT,_BKPF_CPUTM,_BKPF_AEDAT,_BKPF_TCODE,_BKPF_WAERS,_BKPF_AWTYP,_BKPF_AWKEY
ABC12,5900066514,2020,3,T,,,,40,S,,,,S,,,H9,"   16.204,98",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200331,,20200331,7:18:44 AM,,FBVB,EUR,BKPF,5900066514ABC052020
ABC12,5900066514,2020,2,,,,,40,S,,,,S,,,H9,"   57.982,26",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200331,,20200331,7:18:44 AM,,FBVB,EUR,BKPF,5900066514ABC052020
ABC12,5900066514,2020,1,,24.04.2020,23.04.2020,6005291526,31,K,,,,H,,,**,"   21.692,61",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200331,,20200331,7:18:44 AM,,FBVB,EUR,BKPF,5900066514ABC052020
ABC12,5900066513,2020,3,T,,,,40,S,,,,S,,,H9,"       554,36",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200331,,20200331,5:29:35 AM,,FBVB,EUR,BKPF,5900066513ABC052020
ABC12,5900066513,2020,2,,,,,40,S,,,,S,,,H9,"       944,04",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200331,,20200331,5:29:35 AM,,FBVB,EUR,BKPF,5900066513ABC052020
ABC12,5900066513,2020,1,,24.04.2020,23.04.2020,6005291525,31,K,,,,H,,,**,"       253,45",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200331,,20200331,5:29:35 AM,,FBVB,EUR,BKPF,5900066513ABC052020
ABC12,5900066519,2020,3,T,,,,40,S,,,,S,,,H9,"       501,86",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200330,,20200330,9:41:08 AM,,FBVB,EUR,BKPF,5900066519ABC052020
ABC12,5900066519,2020,2,,,,,40,S,,,,S,,,H9,"       976,04",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200330,,20200330,9:41:08 AM,,FBVB,EUR,BKPF,5900066519ABC052020
ABC12,5900066519,2020,1,,24.04.2020,23.04.2020,6005291525,31,K,,,,H,,,**,"       173,95",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200330,,20200330,9:41:08 AM,,FBVB,EUR,BKPF,5900066519ABC052020
ABC12,5900066518,2020,3,T,,,,40,S,,,,S,,,H9,"   12.996,83",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200330,,20200331,7:16:35 AM,,FBVB,EUR,BKPF,5900066518ABC052020
ABC12,5900066518,2020,2,,,,,40,S,,,,S,,,H9,"   372.216,73",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200330,,20200331,7:16:35 AM,,FBVB,EUR,BKPF,5900066518ABC052020
ABC12,5900066518,2020,1,,24.04.2020,23.04.2020,6005291526,31,K,,,,H,,,**," 91.758,31",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200330,,20200331,7:16:35 AM,,FBVB,EUR,BKPF,5900066518ABC052020
ABC12,5900066517,2020,3,T,,,,40,S,,,,S,,,H9,"   19.378,77",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200327,10:02:35 AM,,FBVB,EUR,BKPF,5900066517ABC052020
ABC12,5900066517,2020,2,,,,,40,S,,,,S,,,H9,"   64.555,19",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200327,10:02:35 AM,,FBVB,EUR,BKPF,5900066517ABC052020
ABC12,5900066517,2020,1,,24.04.2020,23.04.2020,6005291526,31,K,,,,H,,,**,"   48.489,43",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200326,,20200327,10:02:35 AM,,FBVB,EUR,BKPF,5900066517ABC052020
ABC12,5900066516,2020,3,T,,,,40,S,,,,S,,,H9,"     5.470,37",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200327,10:02:15 AM,,FBVB,EUR,BKPF,5900066516ABC052020
ABC12,5900066516,2020,2,,,,,40,S,,,,S,,,H9,"     4.198,52",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200327,10:02:15 AM,,FBVB,EUR,BKPF,5900066516ABC052020
ABC12,5900066516,2020,1,,08.04.2020,07.04.2020,6005297762,31,K,,,,H,,,**,"    55.939,00",,,EUR,,,,13089482,,,,,,,,,,,,,,,7500060,KN,20200326,,20200327,10:02:15 AM,,FBVB,EUR,BKPF,5900066516ABC052020
ABC12,5900066515,2020,3,T,,,,40,S,,,,S,,,H9,"       555,52",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200327,6:46:53 AM,,FBVB,EUR,BKPF,5900066515ABC052020
ABC12,5900066515,2020,2,,,,,40,S,,,,S,,,H9,"       999,38",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200327,6:46:53 AM,,FBVB,EUR,BKPF,5900066515ABC052020
ABC12,5900066515,2020,1,,24.04.2020,23.04.2020,6005291525,31,K,,,,H,,,**,"       112,05",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200326,,20200327,6:46:53 AM,,FBVB,EUR,BKPF,5900066515ABC052020
ABC12,5900066599,2020,3,T,,,,40,S,,,,S,,,H9,"        32,03",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200326,6:56:39 AM,,FBVB,EUR,BKPF,5900066599ABC052020
ABC12,5900066599,2020,2,,,,,40,S,,,,S,,,H9,"       879,86",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200326,6:56:39 AM,,FBVB,EUR,BKPF,5900066599ABC052020
ABC12,5900066599,2020,1,,23.04.2020,22.04.2020,6005299494,31,K,,,,H,,,**,"       966,90",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200326,,20200326,6:56:39 AM,,FBVB,EUR,BKPF,5900066599ABC052020
ABC12,5900066598,2020,3,T,,,,40,S,,,,S,,,H9,"   92.201,32",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200326,10:19:51 AM,,FBVB,EUR,BKPF,5900066598ABC052020
ABC12,5900066598,2020,2,,,,,40,S,,,,S,,,H9,"   33.978,77",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200326,10:19:51 AM,,FBVB,EUR,BKPF,5900066598ABC052020
ABC12,5900066598,2020,1,,23.04.2020,22.04.2020,6005299410,31,K,,,,H,,,**,"   81.685,60",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200326,,20200326,10:19:51 AM,,FBVB,EUR,BKPF,5900066598ABC052020
ABC12,5900066597,2020,3,T,,,,40,S,,,,S,,,H9,"        81,90",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200326,6:48:45 AM,,FBVB,EUR,BKPF,5900066597ABC052020
ABC12,5900066597,2020,2,,,,,40,S,,,,S,,,H9,"       676,84",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200326,6:48:45 AM,,FBVB,EUR,BKPF,5900066597ABC052020
ABC12,5900066597,2020,1,,23.04.2020,22.04.2020,6005299494,31,K,,,,H,,,**,"       623,44",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200326,,20200326,6:48:45 AM,,FBVB,EUR,BKPF,5900066597ABC052020
ABC12,5900066596,2020,3,T,,,,40,S,,,,S,,,H9,"        17,00",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200326,,20200326,6:45:45 AM,,FBVB,EUR,BKPF,5900066596ABC052020
ABC12,5900066596,2020,2,,,,,40,S,,,,S,,,H9,"       759,00",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200326,,20200326,6:45:45 AM,,FBVB,EUR,BKPF,5900066596ABC052020
ABC12,5900066596,2020,1,,23.04.2020,22.04.2020,6005299494,31,K,,,,H,,,**,"       723,00",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200326,,20200326,6:45:45 AM,,FBVB,EUR,BKPF,5900066596ABC052020
ABC12,5900066595,2020,3,T,,,,40,S,,,,S,,,H9,"    54.547,14",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200325,,20200325,12:25:52 PM,,FBVB,EUR,BKPF,5900066595ABC052020
ABC12,5900066595,2020,2,,,,,40,S,,,,S,,,H9,"    49.413,88",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200325,,20200325,12:25:52 PM,,FBVB,EUR,BKPF,5900066595ABC052020
ABC12,5900066595,2020,1,,22.04.2020,21.04.2020,6005299293,31,K,,,,H,,,**,"   59.516,57",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200325,,20200325,12:25:52 PM,,FBVB,EUR,BKPF,5900066595ABC052020
ABC12,5900066590,2020,3,T,,,,40,S,,,,S,,,H9,"    23.750,05",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200325,,20200325,12:26:18 PM,,FBVB,EUR,BKPF,5900066590ABC052020
ABC12,5900066590,2020,2,,,,,40,S,,,,S,,,H9,"   45.990,02",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200325,,20200325,12:26:18 PM,,FBVB,EUR,BKPF,5900066590ABC052020
ABC12,5900066590,2020,1,,22.04.2020,21.04.2020,6005299293,31,K,,,,H,,,**,"   14.310,03",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200325,,20200325,12:26:18 PM,,FBVB,EUR,BKPF,5900066590ABC052020
ABC12,5900066584,2020,3,T,,,,40,S,,,,S,,,H9,"   99.421,62",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200325,,20200325,12:26:35 PM,,FBVB,EUR,BKPF,5900066584ABC052020
ABC12,5900066584,2020,2,,,,,40,S,,,,S,,,H9,"   24.335,71",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200325,,20200325,12:26:35 PM,,FBVB,EUR,BKPF,5900066584ABC052020
ABC12,5900066584,2020,1,,22.04.2020,21.04.2020,6005299293,31,K,,,,H,,,**,"   79.392,17",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200325,,20200325,12:26:35 PM,,FBVB,EUR,BKPF,5900066584ABC052020
ABC12,5900066583,2020,3,T,,,,40,S,,,,S,,,H9,"       504,46",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200325,,20200325,7:32:21 AM,,FBVB,EUR,BKPF,5900066583ABC052020
ABC12,5900066583,2020,2,,,,,40,S,,,,S,,,H9,"       984,93",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200325,,20200325,7:32:21 AM,,FBVB,EUR,BKPF,5900066583ABC052020
ABC12,5900066583,2020,1,,22.04.2020,21.04.2020,6005299292,31,K,,,,H,,,**,"       194,90",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200325,,20200325,7:32:21 AM,,FBVB,EUR,BKPF,5900066583ABC052020
ABC12,5900066573,2020,3,T,,,,40,S,,,,S,,,H9,"   39.765,05",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200324,,20200324,12:04:29 PM,,FBVB,EUR,BKPF,5900066573ABC052020
ABC12,5900066573,2020,2,,,,,40,S,,,,S,,,H9,"   461.109,02",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200324,,20200324,12:04:29 PM,,FBVB,EUR,BKPF,5900066573ABC052020
ABC12,5900066573,2020,1,,17.04.2020,16.04.2020,6005298337,31,K,,,,H,,,**,"55.461,03",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200324,,20200324,12:04:29 PM,,FBVB,EUR,BKPF,5900066573ABC052020
ABC12,5900066572,2020,3,T,,,,40,S,,,,S,,,H9,"         9,62",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200324,,20200325,10:28:39 AM,,FBVB,EUR,BKPF,5900066572ABC052020
ABC12,5900066572,2020,2,,,,,40,S,,,,S,,,H9,"        61,78",,,EUR,,,,,,,,,,,,,,,,,,,1786990,KN,20200324,,20200325,10:28:39 AM,,FBVB,EUR,BKPF,5900066572ABC052020
ABC12,5900066572,2020,1,,03.04.2020,02.04.2020,6005296932,31,K,,,,H,,,**,"        75,15",,,EUR,,,,14081409,,,,,,,,,,,,,,,7844500,KN,20200324,,20200325,10:28:39 AM,,FBVB,EUR,BKPF,5900066572ABC052020
ABC12,5900066571,2020,2,,,,,40,S,,,,S,,,T0,"        58,10",,,EUR,,,,,,,,,,ABC05000022,,,,,,,,,2630790,KN,20200324,,20200324,8:52:11 AM,,FBVB,EUR,BKPF,5900066571ABC052020
ABC12,5900066571,2020,1,,03.04.2020,02.04.2020,6005296931,31,K,,,,H,,,**,"        58,10",,,EUR,,,,14054118,,,,,,,,,,,,,,,7500060,KN,20200324,,20200324,8:52:11 AM,,FBVB,EUR,BKPF,5900066571ABC052020
ABC12,5900066579,2020,3,T,,,,40,S,,,,S,,,H9,"       582,86",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200324,,20200324,8:37:20 AM,,FBVB,EUR,BKPF,5900066579ABC052020
ABC12,5900066579,2020,2,,,,,40,S,,,,S,,,H9,"       272,04",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200324,,20200324,8:37:20 AM,,FBVB,EUR,BKPF,5900066579ABC052020
ABC12,5900066579,2020,1,,17.04.2020,16.04.2020,6005298336,31,K,,,,H,,,**,"       338,95",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200324,,20200324,8:37:20 AM,,FBVB,EUR,BKPF,5900066579ABC052020
ABC12,5900066577,2020,3,T,,,,40,S,,,,S,,,H9,"        93,50",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200321,,20200325,2:49:18 PM,,FBVB,EUR,BKPF,5900066577ABC052020
ABC12,5900066577,2020,2,,,,,40,S,,,,S,,,H9,"       640,90",,,EUR,,,,,,,,,,ABC05000891,,,,,,,,,3743090,KN,20200321,,20200325,2:49:18 PM,,FBVB,EUR,BKPF,5900066577ABC052020
ABC12,5900066577,2020,1,,09.04.2020,08.04.2020,6005297979,31,K,,,,H,,,**,"       783,10",,,EUR,,,,14026873,,,,,,,,,,,,,,,7500000,KN,20200321,,20200325,2:49:18 PM,,FBVB,EUR,BKPF,5900066577ABC052020
ABC12,5900066570,2020,3,T,,,,40,S,,,,S,,,H9,"       527,37",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200321,,20200323,10:11:41 AM,,FBVB,EUR,BKPF,5900066570ABC052020
ABC12,5900066570,2020,2,,,,,40,S,,,,S,,,H9,"       314,52",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200321,,20200323,10:11:41 AM,,FBVB,EUR,BKPF,5900066570ABC052020
ABC12,5900066570,2020,1,,17.04.2020,16.04.2020,6005298336,31,K,,,,H,,,**,"     187,00",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200321,,20200323,10:11:41 AM,,FBVB,EUR,BKPF,5900066570ABC052020
ABC12,5900066563,2020,4,T,,,,40,S,,,,S,,,H9,"         5,75",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200321,,20200326,5:08:27 PM,,FBVB,EUR,BKPF,5900066563ABC052020
ABC12,5900066563,2020,3,,,,,50,S,,,,H,,,T0,"         1,98",,,EUR,,,,,,,,,,ABC05000068,,,,,,,,,2630569,KN,20200321,,20200326,5:08:27 PM,,FBVB,EUR,BKPF,5900066563ABC052020
ABC12,5900066563,2020,2,,,,,40,S,,,,S,,,H9,"         1,98",,,EUR,,,,,,,,,,ABC05000068,,,,,,,,,2630569,KN,20200321,,20200326,5:08:27 PM,,FBVB,EUR,BKPF,5900066563ABC052020
ABC12,5900066563,2020,1,,17.04.2020,16.04.2020,6005298332,31,K,,,,H,,,**,"         5,75",,,EUR,,,,14063810,,,,,,,,,,,,,,,7500060,KN,20200321,,20200326,5:08:27 PM,,FBVB,EUR,BKPF,5900066563ABC052020
ABC12,5900066562,2020,3,T,,,,40,S,,,,S,,,H9,"   540.005,66",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200321,,20200323,12:25:41 PM,,FBVB,EUR,BKPF,5900066562ABC052020
ABC12,5900066562,2020,2,,,,,40,S,,,,S,,,H9,"   490.001,03",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200321,,20200323,12:25:41 PM,,FBVB,EUR,BKPF,5900066562ABC052020
ABC12,5900066562,2020,1,,17.04.2020,16.04.2020,6005298337,31,K,,,,H,,,**,"80.002,70",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200321,,20200323,12:25:41 PM,,FBVB,EUR,BKPF,5900066562ABC052020
ABC12,5900066561,2020,3,T,,,,40,S,,,,S,,,H9,"   540.976,68",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200320,,20200323,12:25:04 PM,,FBVB,EUR,BKPF,5900066561ABC052020
ABC12,5900066561,2020,2,,,,,40,S,,,,S,,,H9,"   496.115,60",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200320,,20200323,12:25:04 PM,,FBVB,EUR,BKPF,5900066561ABC052020
ABC12,5900066561,2020,1,,17.04.2020,16.04.2020,6005298337,31,K,,,,H,,,**,"87.547,88",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200320,,20200323,12:25:04 PM,,FBVB,EUR,BKPF,5900066561ABC052020
ABC12,5900066569,2020,3,T,,,,40,S,,,,S,,,H9,"       513,99",,,EUR,,,,,,,,,,,,,,,,,,,7160500,KN,20200320,,20200323,10:05:13 AM,,FBVB,EUR,BKPF,5900066569ABC052020
ABC12,5900066569,2020,2,,,,,40,S,,,,S,,,H9,"       387,77",,,EUR,,,,,,,,,,,,,,,,,,,1786910,KN,20200320,,20200323,10:05:13 AM,,FBVB,EUR,BKPF,5900066569ABC052020
ABC12,5900066569,2020,1,,17.04.2020,16.04.2020,6005298336,31,K,,,,H,,,**,"     155,33",,,EUR,,,,13081827,,,,,,,,,,,,,,,7500060,KN,20200320,,20200323,10:05:13 AM,,FBVB,EUR,BKPF,5900066569ABC052020
