ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY_STARTDATE,VALIDITY_ENDDATE,LATITUDE,LONGITUDE
1000000034,West Nyack,10994,Settlers Lane,5027,US,AMER,2,20000101,99991231,41.100057,-73.973562
1000000035,Fair Oaks,95628,Woodland Terrace,4467,US,AMER,2,20000101,99991231,38.638355,-121.286683
1000000036,Dunn,28334,Layman Avenue,2250,US,AMER,2,20000101,99991231,35.312013,-78.609950
1000000037,Chicago,60605,University Drive,4697,US,AMER,2,20000101,99991231,41.874591,-87.627303
1000000038,Ocala,34471,Bagwell Avenue,1565,US,AMER,2,20000101,99991231,29.183977,-82.118413
1000000039,Callenberg,02681,Kantstraße,56,DE,EMEA,2,20000101,99991231,51.096588,14.433772
1000000040,Trimport,54636,Luetzowplatz,74,DE,EMEA,2,20000101,99991231,49.908759,6.578609
1000000041,Berlin Mariendorf,12107,Brandenburgische Straße,10,DE,EMEA,2,20000101,99991231,52.492245,13.310903
1000000042,Marne,25705,An Der Urania,30,DE,EMEA,2,20000101,99991231,53.952609,9.018139
1000000043,Augsburg,86045,Sonnenallee,43,DE,EMEA,2,20000101,99991231,48.370625,10.893961
1000000044,Glyntaff,CF37 3JJ,Brynglas Road,106,GB,EMEA,2,20000101,99991231,51.597073,-3.321350
1000000045,Stanton Wick,BS18 9DW,Pier Road,86,GB,EMEA,2,20000101,99991231,51.355959,-2.557565
1000000046,Talgarth,LD3 7QD,Scotsburn Rd,75,GB,EMEA,2,20000101,99991231,51.995666,-3.230553
1000000047,Stonestreet Green,TN25 2XG,Broomfield Place,48,GB,EMEA,2,20000101,99991231,51.098513,0.950137
1000000048,London,SE14 8JW,Guild Street,50,GB,EMEA,2,20000101,99991231,51.515982,-0.091245
1000000049,Kitoba,4605,Raglan Street,5,AU,APJ,2,20000101,99991231,-26.073321,151.859836
1000000050,Meadow Heights,3048,Creedon Street,11,AU,APJ,2,20000101,99991231,-37.651278,144.923051
1000000051,Kununurra,6743,Darwinia Loop,11,AU,APJ,2,20000101,99991231,-15.802511,128.746775
1000000052,Canberra,2601,Quayside Vista,18,AU,APJ,2,20000101,99991231,-35.279663,149.126715
1000000053,Canberra,2601,Quayside Vista,95,AU,APJ,2,20000101,99991231,-35.278051,149.124245
1000000054,Mumbai,400092,Rahul Enclave,105,IN,APJ,2,20000101,99991231,19.313940,72.857565
1000000055,Hyderabad,400092,Nampally,43,IN,APJ,2,20000101,99991231,17.385758,78.467547
1000000056,Mumbai,400017,Rewa Fort Colony,15,IN,APJ,2,20000101,99991231,19.046575,72.864262
1000000057,Mumbai,400012,Ambedkar Road,10,IN,APJ,2,20000101,99991231,19.073197,72.826831
1000000058,Delhi,110005,Faiz Road,93,IN,APJ,2,20000101,99991231,28.650563,77.200575
1000000059,Jebel Ali Free Zone,18673,Box No. 18673,,DU,EMEA,2,20000101,99991231,25.006517,55.065244
1000000060,Dubai,39388,Box No. 39388,,DU,EMEA,2,20000101,99991231,25.013792,55.131876
1000000061,Dubai,92064,Box No. 92064,,DU,EMEA,2,20000101,99991231,24.960345,55.124104
1000000062,Dubai,30134,Box No. 30134,,DU,EMEA,2,20000101,99991231,24.956728,55.120386
1000000063,Jebel Ali Free Zone,16939,Box No. 16939,,DU,EMEA,2,20000101,99991231,24.963277,55.053726
1000000064,Borden,S4P 3Y2,St. John Street,3578,CA,AMER,2,20000101,99991231,47.595469,-52.703448
1000000065,Cooksville,L5A 1V9,Heatherleigh,3404,CA,AMER,2,20000101,99991231,43.570089,-79.609911
1000000066,Iroquois,K0E 1K0,Elgin Street,1008,CA,AMER,2,20000101,99991231,44.845124,-75.318280
1000000067,Schefferville,J0C 1G0,rue des Églises Est,2273,CA,AMER,2,20000101,99991231,54.809261,-66.815519
1000000068,Toronto,M5H 1P6,Adelaide St,1483,CA,AMER,2,20000101,99991231,43.647763,-79.391022
1000000069,Chelles,77500,rue Ernest Renan,21,FR,EMEA,2,20000101,99991231,48.878471,2.589870
1000000070,Laon,02000,Place Napoléon,55,FR,EMEA,2,20000101,99991231,49.553186,3.627835
1000000071,Besanon,25000, rue Jean Vilar,73,FR,EMEA,2,20000101,99991231,47.242859,6.035751
1000000072,Athis-Mons,91200,rue de Lille,54,FR,EMEA,2,20000101,99991231,48.705235,2.375049
1000000073,Paris,75006,rue Nationale,114,FR,EMEA,2,20000101,99991231,48.827364,2.366021
1000000001,Burr Ridge,60527,Fraggle Drive,996,US,AMER,1,20000101,99991231,41.748490,-87.918277
1000000002,Floß,92683,Borstelmannsweg,57,DE,EMEA,1,20000101,99991231,53.550141,10.052733
1000000003,High Halden,TN26 7GJ,Nenthead Road,126,GB,EMEA,1,20000101,99991231,51.101237,0.698829
1000000004,Sleepy Hollow,2483,Chester Street,48,AU,APJ,1,20000101,99991231,-28.420591,153.524102
1000000005,Mumbai,400015,T.k.indui Estate,11,IN,APJ,1,20000101,99991231,19.175001,72.850043
1000000006,Dubai,89610,Box No. 89610,,DU,EMEA,1,20000101,99991231,24.968781,55.129116
1000000007,Annaheim,S4P 3Y2,St. John Street,2845,CA,AMER,1,20000101,99991231,52.319432,-104.820274
1000000008,Strasbourg,67100,rue Descartes,23,FR,EMEA,1,20000101,99991231,48.578824,7.762616
1000000009,San Luis Obispo,93401,Par Drive,1378,US,AMER,1,20000101,99991231,35.284387,-120.659734
1000000010,Jersey City,07305,Lakewood Drive,285,US,AMER,1,20000101,99991231,40.816042,-74.188869
1000000011,Wingate,79566,Frederick Street,728,US,AMER,1,20000101,99991231,39.418878,-77.409172
1000000012,Toronto,M2J 3T7,Victoria Park Ave,2523,CA,AMER,1,20000101,99991231,43.748615,-79.311992
1000000013,Toronto,M1S 1T4,Sheppard Ave,1122,CA,AMER,1,20000101,99991231,43.747480,-79.482548
1000000014,Toronto,P3E 4N2,Paris St,3443,CA,AMER,1,20000101,99991231,43.609163,-79.645953
