SALESORDERID,SALESORDERITEM,PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
0500000000,0000000010,MB-1034, ,USD,2499,2186.625,312.375,I,,4,EA,20180311
0500000000,0000000020,CB-1161, ,USD,399,349.125,49.875,I,,9,EA,20180311
0500000001,0000000010,HB-1175, ,USD,899,786.625,112.375,I,,2,EA,20180228
0500000001,0000000020,RC-1056, ,USD,2499,2186.625,312.375,I,,2,EA,20180228
0500000001,0000000030,CC-1021, ,USD,1144,1001,143,I,,3,EA,20180228
0500000001,0000000040,CB-1161, ,USD,399,349.125,49.875,I,,6,EA,20180228
0500000002,0000000010,HB-1175, ,USD,899,786.625,112.375,I,,6,EA,20180309
0500000002,0000000020,RC-1055, ,USD,1999,1749.125,249.875,I,,3,EA,20180309
0500000002,0000000030,DB-1081, ,USD,1499,1311.625,187.375,I,,3,EA,20180309
0500000002,0000000040,EB-1133, ,USD,2250,1968.75,281.25,I,,10,EA,20180309
0500000002,0000000050,BX-1015, ,USD,299,261.625,37.375,I,,9,EA,20180309
0500000002,0000000060,CC-1021, ,USD,1144,1001,143,I,,4,EA,20180309
0500000003,0000000010,RC-1056, ,USD,2499,2186.625,312.375,I,,3,EA,20180223
0500000003,0000000020,BX-1013, ,USD,449,392.875,56.125,I,,2,EA,20180223
0500000003,0000000030,RC-1056, ,USD,2499,2186.625,312.375,I,,5,EA,20180223
0500000003,0000000040,CB-1161, ,USD,399,349.125,49.875,I,,1,EA,20180223
0500000003,0000000050,EB-1131, ,USD,1500,1312.5,187.5,I,,10,EA,20180223
0500000003,0000000060,MB-1034, ,USD,2499,2186.625,312.375,I,,3,EA,20180223
0500000003,0000000070,DB-1082, ,USD,1250,1093.75,156.25,I,,8,EA,20180223
0500000003,0000000080,EB-1134, ,USD,4800,4200,600,I,,10,EA,20180223
0500000004,0000000010,BX-1014, ,USD,799,699.125,99.875,I,,3,EA,20180305
0500000004,0000000020,EB-1134, ,USD,4800,4200,600,I,,2,EA,20180305
0500000004,0000000030,CB-1163, ,USD,288,252,36,I,,8,EA,20180305
0500000004,0000000040,BX-1013, ,USD,449,392.875,56.125,I,,6,EA,20180305
0500000004,0000000050,MB-1034, ,USD,2499,2186.625,312.375,I,,10,EA,20180305
0500000004,0000000060,MB-1031, ,USD,649,567.875,81.125,I,,2,EA,20180305
0500000004,0000000070,RC-1051, ,USD,2499,2186.625,312.375,I,,10,EA,20180305
0500000004,0000000080,HB-1174, ,USD,379,331.625,47.375,I,,9,EA,20180305
