DEVICE;TYPE;COUNTRY;CUSTOMER;TIME
005056912EC51ED7958030A7950BE7CA;server;JP;1000000094;2016-01-01T11:41:47,7881420
005056912EC51ED7958030A7950C07CA;mobile;US;1000000095;2016-01-01T11:42:27,4272020
005056912EC51ED7958030A7950C27CA;server;;1000000096;2016-01-01T11:43:08,9177211
005056912EC51ED7958030A7950C47CA;mobile;;1000000097;2016-01-01T11:43:49,9830276
005056912EC51ED7958030A7950C67CA;tablet;BR;1000000098;2016-01-01T11:44:36,1940099
005056912EC51ED7958030A7950C87CA;tablet;CN;1000000099;2016-01-01T11:45:17,8192343
005056912EC51ED7958030A7950CA7CA;server;JP;1000000100;2016-01-01T11:46:00,0010413
005056912EC51ED7958030A7950CC7CA;server;JP;1000000101;2016-01-01T11:46:42,6470987
005056912EC51ED7958030A7950CE7CA;server;IN;1000000102;2016-01-01T11:47:24,7075071
005056912EC51ED7958030A7950D07CA;server;;1000000103;2016-01-01T11:48:05,7149649
005056912EC51ED7958030A7950D27CA;laptop;CN;1000000104;2016-01-01T11:48:46,3457102
005056912EC51ED7958030A7950D47CA;mobile;US;1000000105;2016-01-01T11:49:26,4683036
005056912EC51ED7958030A7950D67CA;desktop;;1000000106;2016-01-01T11:50:06,1296673
005056912EC51ED7958030A7950D87CA;desktop;FR;1000000107;2016-01-01T11:50:48,8018484
005056912EC51ED7958030A7950DA7CA;mobile;MX;1000000108;2016-01-01T11:51:28,1830578
005056912EC51ED7958030A7950DC7CA;server;JP;1000000109;2016-01-01T11:52:09,4569908
005056912EC51ED7958030A7950DE7CA;tablet;BR;1000000110;2016-01-01T11:52:49,1788406
005056912EC51ED7958030A7950E07CA;server;MX;1000000111;2016-01-01T11:53:30,1882212
005056912EC51ED7958030A7950E27CA;laptop;CN;1000000112;2016-01-01T11:54:11,9047755
005056912EC51ED7958030A7950E47CA;laptop;DE;1000000113;2016-01-01T11:54:52,0596651
