ID,SALARY,START_YEAR,GENDER,REGION,T-LEVEL
100001,139171,1998,m,APJ,T5
100002,148828,1996,m,EMEA,T5
100003,153149,1996,f,APJ,T5
100004,155515,1995,m,NA,T5
100005,149744,1994,f,NA,T5
100006,127486,1995,m,NA,T5
100007,133838,1992,f,NA,T5
100008,165135,1994,m,NA,T5
100009,187147,1999,m,EMEA,T5
100010,176983,1997,m,NA,T5
100011,130711,1999,f,NA,T5
100012,163774,1997,f,APJ,T5
100013,162355,1994,m,APJ,T5
100014,143138,1999,f,APJ,T5
100015,163731,1991,f,EMEA,T5
100016,155586,1995,f,APJ,T5
100017,188103,1996,m,APJ,T5
100018,158878,1990,f,EMEA,T5
100019,137344,1992,m,NA,T5
100020,145876,2002,m,APJ,T5
100021,149429,1991,m,APJ,T5
100022,166619,1994,f,EMEA,T5
100023,164192,1990,f,APJ,T5
100024,145574,1993,m,EMEA,T5
100025,173670,1995,m,NA,T5
100026,162044,1995,m,APJ,T5
100027,174791,2001,f,APJ,T5
100028,157779,1997,f,EMEA,T5
100029,135723,1989,m,EMEA,T5
100030,191977,1998,m,EMEA,T5
100031,141831,1998,m,APJ,T5
100032,150848,1994,m,APJ,T5
100033,163303,2000,m,EMEA,T5
100034,182061,1994,m,EMEA,T5
100035,124714,1995,m,NA,T5
100036,185732,1995,m,EMEA,T5
100037,124386,1994,f,APJ,T5
100038,149535,1995,m,APJ,T5
100039,114121,1995,m,NA,T5
100040,145076,1990,f,APJ,T5
100041,164457,1997,f,EMEA,T5
100042,165788,1999,m,EMEA,T5
100043,172320,1991,m,NA,T5
100044,149408,1993,f,APJ,T5
100045,129017,1996,m,NA,T5
100046,162792,1996,f,APJ,T5
100047,151023,2002,m,EMEA,T5
100048,148331,1993,m,NA,T5
100049,150430,1993,f,EMEA,T5
100050,172761,1998,f,NA,T5
100051,155997,1999,m,NA,T5
100052,142469,1992,m,NA,T5
100053,142275,1996,m,NA,T5
100054,164378,1999,f,APJ,T5
100055,153745,1995,f,NA,T5
100056,151562,1991,m,APJ,T5
100057,126923,1989,f,EMEA,T5
100058,160489,1994,f,NA,T5
100059,131435,1992,m,NA,T5
100060,171588,1991,f,APJ,T5
100061,142413,1994,f,APJ,T5
100062,160123,1995,m,APJ,T5
100063,178151,1997,m,EMEA,T5
100064,112083,1993,m,EMEA,T5
100065,149495,1995,f,EMEA,T5
100066,151551,1994,f,NA,T5
100067,156036,1996,m,EMEA,T5
100068,162020,1996,f,EMEA,T5
100069,164937,1996,f,NA,T5
100070,158622,1999,f,EMEA,T5
100071,134710,1994,f,NA,T5
100072,136665,1997,f,APJ,T5
100073,156955,1996,f,EMEA,T5
100074,168860,1993,m,APJ,T5
100075,173664,1997,m,NA,T5
100076,118101,1995,f,APJ,T5
100077,137705,1996,f,APJ,T5
100078,140888,1991,f,EMEA,T5
100079,138911,1990,m,EMEA,T5
100080,187319,1990,f,EMEA,T5
100081,145434,1997,m,APJ,T5
100082,161308,1991,f,EMEA,T5
100083,159137,1993,m,EMEA,T5
100084,138848,1996,f,NA,T5
100085,139571,1995,m,NA,T5
100086,159920,1995,m,NA,T5
100087,134531,2000,m,NA,T5
100088,147407,1993,m,APJ,T5
100089,167817,1994,m,EMEA,T5
100090,131498,1992,f,NA,T5
100091,142307,1994,f,NA,T5
100092,143697,1992,m,NA,T5
100093,147851,1992,f,APJ,T5
100094,181182,1994,m,APJ,T5
100095,134839,1991,m,EMEA,T5
100096,173781,1997,f,EMEA,T5
100097,179908,1991,f,APJ,T5
100098,140772,1994,m,EMEA,T5
