TIME	Signal
2001-01-01	0.602309238
2001-01-02	1.045177484
2001-01-03	1.285478199
2001-01-04	1.632433324
2001-01-05	1.630309653
2001-01-06	1.900637251
2001-01-07	1.987271774
2001-01-08	2.107957048
2001-01-09	2.182313257
2001-01-10	2.472673921
2001-01-11	2.848505843
2001-01-12	3.0959614
2001-01-13	3.288888543
2001-01-14	3.523979818
2001-01-15	3.64048399
2001-01-16	3.928910633
2001-01-17	3.906234001
2001-01-18	3.752788375
2001-01-19	3.745891347
2001-01-20	4.040348677
2001-01-21	4.371020279
2001-01-22	4.734200983
2001-01-23	5.062809784
2001-01-24	5.435333376
2001-01-25	5.512878023
2001-01-26	5.443001893
2001-01-27	5.568362296
2001-01-28	5.517719272
2001-01-29	5.573896766
2001-01-30	5.836762084
2001-01-31	6.076068901
2001-02-01	5.868677178
2001-02-02	5.672924452
2001-02-03	5.709511988
2001-02-04	5.653219567
2001-02-05	5.307174374
2001-02-06	5.080882289
2001-02-07	4.847120005
2001-02-08	4.646999282
2001-02-09	4.243135801
2001-02-10	3.990510884
2001-02-11	4.010973171
2001-02-12	3.935608219
2001-02-13	3.791336494
2001-02-14	3.389324895
2001-02-15	3.062601383
2001-02-16	2.791105866
2001-02-17	2.615464505
2001-02-18	2.648464305
2001-02-19	2.326437173
2001-02-20	1.771880096
2001-02-21	1.435697273
2001-02-22	0.817674053
2001-02-23	0.447834939
2001-02-24	-0.041448816
2001-02-25	-0.334756045
2001-02-26	-0.323582542
2001-02-27	-0.326675432
2001-02-28	-0.776010618
2001-03-01	-0.673009478
2001-03-02	-0.759980818
2001-03-03	-1.089493645
2001-03-04	-1.695441577
2001-03-05	-1.781972315
2001-03-06	-2.033056936
2001-03-07	-2.267308854
2001-03-08	-2.365989858
2001-03-09	-2.65267001
2001-03-10	-2.864512217
2001-03-11	-2.997630455
2001-03-12	-2.960112139
2001-03-13	-3.106205507
2001-03-14	-3.48333755
2001-03-15	-3.470284896
2001-03-16	-3.778810974
2001-03-17	-4.203818595
2001-03-18	-4.0860628
2001-03-19	-4.151766989
2001-03-20	-4.183547254
2001-03-21	-4.385389945
2001-03-22	-4.342456182
2001-03-23	-4.324829769
2001-03-24	-4.442639852
2001-03-25	-4.691165352
2001-03-26	-4.977525616
2001-03-27	-5.039324512
2001-03-28	-5.099576413
2001-03-29	-5.410871506
2001-03-30	-5.694764917
