TIME	Signal
2001-01-01	1.474834496
2001-01-02	1.94224811
2001-01-03	3.650656687
2001-01-04	4.818101847
2001-01-05	2.695495068
2001-01-06	0.080202508
2001-01-07	1.526251941
2001-01-08	-0.403254079
2001-01-09	0.555058601
2001-01-10	0.842354456
2001-01-11	3.051003512
2001-01-12	2.134321957
2001-01-13	2.868508344
2001-01-14	2.407551198
2001-01-15	1.906802537
2001-01-16	2.765610066
2001-01-17	2.68537303
2001-01-18	1.721109846
2001-01-19	-0.690680651
2001-01-20	1.713976433
2001-01-21	1.402606166
2001-01-22	3.351290794
2001-01-23	7.517157028
2001-01-24	7.439267011
2001-01-25	8.898398912
2001-01-26	8.374554755
2001-01-27	8.388216323
2001-01-28	7.89397029
2001-01-29	8.097057895
2001-01-30	10.49791258
2001-01-31	13.95450233
2001-02-01	11.53221172
2001-02-02	11.12026869
2001-02-03	9.27785306
2001-02-04	9.992244658
2001-02-05	9.850099462
2001-02-06	9.111895253
2001-02-07	6.122378801
2001-02-08	5.493388883
2001-02-09	6.402129377
2001-02-10	3.862337122
2001-02-11	6.239052344
2001-02-12	5.058800259
2001-02-13	5.904241426
2001-02-14	4.089208163
2001-02-15	3.051295037
2001-02-16	2.645206432
2001-02-17	3.819674522
2001-02-18	4.331655918
2001-02-19	3.914666549
2001-02-20	0.390807086
2001-02-21	0.192846236
2001-02-22	-1.45819433
2001-02-23	-3.955673138
2001-02-24	-5.595418806
2001-02-25	-6.863345104
2001-02-26	-4.400347447
2001-02-27	-3.505701612
2001-02-28	-2.955721157
2001-03-01	-1.955291278
2001-03-02	-1.364297225
2001-03-03	-0.829440499
2001-03-04	-2.84870227
2001-03-05	-3.286873218
2001-03-06	-4.587577063
2001-03-07	-4.179466137
2001-03-08	-3.636320898
2001-03-09	-3.403155859
2001-03-10	-2.906065703
2001-03-11	-2.305895501
2001-03-12	-1.974116617
2001-03-13	-1.873703573
2001-03-14	-3.497152964
2001-03-15	-1.249347909
2001-03-16	-4.155862277
2001-03-17	-5.980606497
2001-03-18	-2.773830012
2001-03-19	-4.227830115
2001-03-20	-3.855360828
2001-03-21	-2.649513389
2001-03-22	-2.554289933
2001-03-23	-2.656895687
2001-03-24	-3.709420003
2001-03-25	-3.897345871
2001-03-26	-6.319605557
2001-03-27	-5.773919782
2001-03-28	-5.494731587
2001-03-29	-10.35688124
2001-03-30	-8.291959104
2001-03-31	-7.831875251
2001-04-01	-8.305558108
2001-04-02	-9.266817302
2001-04-03	-9.264254047
2001-04-04	-10.67622325
2001-04-05	-9.987725265
2001-04-06	-12.09670464
2001-04-07	-10.91994573
2001-04-08	-9.143176725
2001-04-09	-9.343971898
2001-04-10	-9.671255059
2001-04-11	-8.281512337
2001-04-12	-8.17717089
2001-04-13	-9.672716383
2001-04-14	-7.792207747
2001-04-15	-9.222491143
2001-04-16	-10.90569174
2001-04-17	-8.136884538
2001-04-18	-10.420603
2001-04-19	-13.77882115
2001-04-20	-11.28813459
2001-04-21	-9.338408818
2001-04-22	-10.00156202
2001-04-23	-10.33563826
2001-04-24	-10.56338879
2001-04-25	-8.79433361
2001-04-26	-7.599878564
2001-04-27	-6.427679563
2001-04-28	-6.467716796
2001-04-29	-5.31883495
2001-04-30	-5.092482143
2001-05-01	-6.116285104
2001-05-02	-4.799774522
2001-05-03	-3.363866257
2001-05-04	-1.18747081
2001-05-05	-0.425932333
2001-05-06	-2.182455262
2001-05-07	1.527564136
2001-05-08	-0.793548129
2001-05-09	0.531215565
2001-05-10	1.712665452
2001-05-11	1.873833186
2001-05-12	3.37541005
2001-05-13	1.47195051
2001-05-14	2.679360274
2001-05-15	4.131875957
2001-05-16	5.040868655
2001-05-17	4.337625968
2001-05-18	2.981159635
2001-05-19	3.551160018
2001-05-20	4.755067494
2001-05-21	7.15810372
2001-05-22	7.049540145
2001-05-23	6.243197621
2001-05-24	8.279183409
2001-05-25	8.036263925
2001-05-26	9.333354749
2001-05-27	8.43203508
2001-05-28	9.448718927
2001-05-29	10.99287174
2001-05-30	8.590846719
2001-05-31	8.160402202
2001-06-01	8.37347093
2001-06-02	10.78286133
2001-06-03	9.996724305
2001-06-04	8.298607159
2001-06-05	10.70382514
2001-06-06	10.10073303
2001-06-07	9.760525954
2001-06-08	12.54756057
2001-06-09	11.65940977
2001-06-10	8.213764001
2001-06-11	7.487635227
2001-06-12	8.214178639
2001-06-13	7.774745199
2001-06-14	9.57647375
2001-06-15	9.121476067
2001-06-16	8.281517098
2001-06-17	7.341373855
2001-06-18	7.609706409
2001-06-19	8.018613365
2001-06-20	7.776870433
2001-06-21	8.078383575
2001-06-22	7.469424504
2001-06-23	8.838300084
2001-06-24	8.722814429
2001-06-25	5.310057171
2001-06-26	2.488484486
2001-06-27	1.519026006
2001-06-28	3.01322118
2001-06-29	2.196531262
2001-06-30	4.353047685
2001-07-01	2.416148762
2001-07-02	0.966854563
2001-07-03	3.640647473
2001-07-04	3.29177725
2001-07-05	2.859439034
2001-07-06	-0.408684061
2001-07-07	0.562305741
2001-07-08	-0.632497987
2001-07-09	-1.838032761
2001-07-10	-2.349699625
2001-07-11	-4.692120417
2001-07-12	-5.352468338
2001-07-13	-4.074397977
2001-07-14	-4.087735052
2001-07-15	-3.239665193
2001-07-16	-3.059994013
2001-07-17	-4.755133301
2001-07-18	-3.679929517
2001-07-19	-3.315937777
2001-07-20	-3.859883531
2001-07-21	-3.077966453
2001-07-22	-3.672813632
2001-07-23	-3.915181036
2001-07-24	-2.813105719
2001-07-25	-4.690349067
2001-07-26	-4.873971051
2001-07-27	-8.273307313
2001-07-28	-6.364212091
2001-07-29	-5.235264434
2001-07-30	-3.748595773
2001-07-31	-4.822807987
2001-08-01	-5.119638394
2001-08-02	-5.527124792
2001-08-03	-7.058177038
2001-08-04	-6.999493744
2001-08-05	-6.83948687
2001-08-06	-7.215501066
2001-08-07	-6.754720708
2001-08-08	-6.964393259
2001-08-09	-5.478717296
2001-08-10	-6.007311424
2001-08-11	-4.230751956
2001-08-12	-3.944794699
2001-08-13	-0.517334352
2001-08-14	-1.603669214
2001-08-15	-0.48149155
2001-08-16	-1.423006061
2001-08-17	-3.005904895
2001-08-18	1.948562875
2001-08-19	0.250594357
2001-08-20	0.500443087
2001-08-21	1.299449588
2001-08-22	0.443701303
2001-08-23	-0.466289213
2001-08-24	0.5775267
2001-08-25	2.215490472
2001-08-26	4.389950272
2001-08-27	4.089012075
2001-08-28	5.514740269
2001-08-29	4.325625149
2001-08-30	4.999387945
2001-08-31	3.883536141
2001-09-01	2.311251102
