Product Name,Product Line,Product Category,City,Country,Region,Date,Manager,Quantity sold,Sales Revenue,Gross Margin,Discount,Customer Satisfaction,Number of Issues reported,Comments,Gross Margin Ratio,CountryLongitude,CountryLatitude,CityLongitude,CityLatitude
Jewelry,Accessories,Other,Nairobi,Kenya,Africa,2021-12-09,Anne Coke,50,123,47,9.84,0.95,19,Customer service,0.38,37.82,0.58,36.81,-1.28
"Belts,bags,wallets",Accessories,Other,Nairobi,Kenya,Africa,2021-11-23,Anne Coke,2100,7498,2841,999.7,0.85,25,Other / unknown,0.38,37.82,0.58,36.81,-1.28
Samples,Accessories,Other,Nairobi,Kenya,Africa,2021-11-26,Anne Coke,1350,3142,1049,293.23,0.91,17,Behaviour of personnel,0.33,37.82,0.58,36.81,-1.28
"Hats,gloves,scarves",Accessories,Other,Nairobi,Kenya,Africa,2021-12-29,Anne Coke,100,262,84,34.9,0.85,12,Item defect / bad quality,0.32,37.82,0.58,36.81,-1.28
Lounge wear,Accessories,Other,Nairobi,Kenya,Africa,2021-12-02,Anne Coke,450,1092,262,72.8,0.81,11,Item defect / bad quality,0.24,37.82,0.58,36.81,-1.28
Hair accessories,Accessories,Other,Nairobi,Kenya,Africa,2021-10-31,Anne Coke,350,1102,109,132.21,0.91,18,Behaviour of personnel,0.1,37.82,0.58,36.81,-1.28
Jewelry,Accessories,Other,Shanghai,China,Asia,2021-10-16,Coe Li,100,196,75,9.84,0.94,22,Other / unknown,0.38,103.86,36.63,121.47,31.26
"Belts,bags,wallets",Accessories,Other,Shanghai,China,Asia,2021-12-28,Coe Li,3300,11996,4545,749.8,0.9,20,Price too high / competition,0.38,103.86,36.63,121.47,31.26
Samples,Accessories,Other,Shanghai,China,Asia,2021-11-30,Coe Li,2100,5027,1678,282.78,0.9,12,Item defect / bad quality,0.33,103.86,36.63,121.47,31.26
"Hats,gloves,scarves",Accessories,Other,Shanghai,China,Asia,2021-12-25,Coe Li,150,418,135,18.34,0.93,25,Item not as described,0.32,103.86,36.63,121.47,31.26
Lounge wear,Accessories,Other,Shanghai,China,Asia,2021-11-04,Coe Li,700,1747,420,98.28,0.86,19,Item not as described,0.24,103.86,36.63,121.47,31.26
Hair accessories,Accessories,Other,Shanghai,China,Asia,2021-10-03,Coe Li,550,1763,174,55.1,0.84,23,Item defect / bad quality,0.1,103.86,36.63,121.47,31.26
"Belts,bags,wallets",Accessories,Other,Alexandria,Egypt,Africa,2021-11-22,Gabriel Walton,4650,17541,6851,1637.16,0.94,24,Other / unknown,0.39,29.88,26.5,29.91,31.21
Samples,Accessories,Other,Alexandria,Egypt,Africa,2021-12-11,Gabriel Walton,4650,11906,4374,793.7,0.86,25,Item not as described,0.37,29.88,26.5,29.91,31.21
Hair accessories,Accessories,Other,Alexandria,Egypt,Africa,2021-11-21,Gabriel Walton,600,1942,253,129.45,0.92,18,Item not as described,0.13,29.88,26.5,29.91,31.21
Lounge wear,Accessories,Other,Alexandria,Egypt,Africa,2021-11-20,Gabriel Walton,1050,2384,242,222.46,0.91,18,Price too high / competition,0.1,29.88,26.5,29.91,31.21
"Hats,gloves,scarves",Accessories,Other,Alexandria,Egypt,Africa,2021-11-08,Gabriel Walton,550,1001,19,66.7,0.91,19,Behaviour of personnel,0.02,29.88,26.5,29.91,31.21
